Time,Pitch,Roll
1.190,4.48,-0.85
1.240,4.57,-0.87
1.290,4.64,-0.89
1.340,4.73,-0.91
1.390,4.80,-0.91
1.440,4.88,-0.92
1.490,4.95,-0.93
1.620,5.10,-0.95
1.670,5.18,-0.97
1.720,5.24,-0.97
1.770,5.28,-1.00
1.820,5.34,-1.01
1.870,5.38,-1.00
1.920,5.44,-1.00
1.970,5.49,-1.01
2.020,5.53,-1.03
2.070,5.59,-1.04
2.120,5.64,-1.05
2.170,5.67,-1.08
2.220,5.70,-1.08
2.270,5.75,-1.09
2.320,5.78,-1.10
2.370,5.81,-1.11
2.420,5.85,-1.13
2.470,5.87,-1.12
2.520,5.88,-1.13
2.570,5.91,-1.12
2.620,5.96,-1.14
2.670,5.97,-1.14
2.720,5.99,-1.16
2.770,5.98,-1.15
2.820,5.97,-1.15
2.870,5.99,-1.15
2.920,6.03,-1.15
2.970,6.04,-1.15
3.020,6.07,-1.16
3.070,6.10,-1.16
3.240,6.24,-1.16
3.290,6.23,-1.17
3.340,6.25,-1.18
3.390,6.26,-1.17
3.440,6.27,-1.18
3.490,6.27,-1.16
3.540,6.28,-1.16
3.590,6.29,-1.16
3.640,6.28,-1.15
3.690,6.30,-1.16
3.740,6.30,-1.17
3.790,6.31,-1.18
3.840,6.33,-1.19
3.890,6.33,-1.19
3.940,6.33,-1.21
3.990,6.32,-1.21
4.040,6.32,-1.22
4.090,6.32,-1.23
4.140,6.35,-1.23
4.190,6.34,-1.22
4.240,6.34,-1.22
4.290,6.33,-1.22
4.340,6.32,-1.22
4.390,6.34,-1.25
4.440,6.33,-1.24
4.490,6.33,-1.23
4.540,6.33,-1.23
4.590,6.34,-1.21
4.640,6.32,-1.22
4.690,6.32,-1.21
4.800,6.38,-1.20
4.850,6.37,-1.21
4.900,6.40,-1.21
4.950,6.41,-1.19
5.000,6.40,-1.18
5.050,6.41,-1.19
5.100,6.42,-1.20
5.150,6.43,-1.18
5.200,6.43,-1.18
5.250,6.43,-1.18
5.300,6.41,-1.16
5.350,6.41,-1.15
5.400,6.41,-1.15
5.450,6.41,-1.15
5.500,6.41,-1.14
5.550,6.39,-1.15
5.600,6.39,-1.15
5.650,6.39,-1.16
5.700,6.39,-1.15
5.750,6.39,-1.15
5.800,6.40,-1.14
5.850,6.41,-1.13
5.900,6.41,-1.15
5.950,6.40,-1.17
6.000,6.41,-1.18
6.050,6.40,-1.18
6.100,6.38,-1.17
6.150,6.40,-1.18
6.200,6.38,-1.19
6.250,6.38,-1.20
6.350,6.46,-1.17
6.400,6.45,-1.17
6.450,6.46,-1.19
6.500,6.47,-1.19
6.550,6.48,-1.20
6.600,6.47,-1.21
6.650,6.45,-1.24
6.700,6.48,-1.16
6.750,6.55,-0.98
6.800,6.52,-1.01
6.850,6.54,-0.97
6.900,6.52,-0.91
6.950,6.53,-0.90
7.000,6.52,-0.93
7.050,6.52,-0.95
7.100,6.52,-0.99
7.150,6.49,-0.98
7.200,6.51,-1.02
7.250,6.53,-1.01
7.300,6.54,-0.93
7.350,6.51,-0.92
7.400,6.50,-0.93
7.450,6.49,-0.88
7.500,6.47,-0.88
7.550,6.55,-0.88
7.600,6.54,-0.88
7.650,6.53,-0.90
7.700,6.54,-0.93
7.750,6.60,-0.76
7.800,6.63,-0.70
8.000,7.47,1.29
8.050,7.40,1.21
8.100,7.40,1.27
8.150,7.38,1.20
8.200,7.34,1.10
8.250,7.28,0.92
8.300,7.21,0.69
8.350,7.22,0.73
8.400,7.24,0.81
8.450,6.97,-0.16
8.500,6.74,-0.86
8.550,6.67,-0.92
